paper,unit,subtopic,difficulty,marks_type,question,option1,option2,option3,option4,correct_answer
Economics,Microeconomics,Consumer Behaviour,Easy,15,Indifference curve represents,Equal income levels,Equal utility levels,Equal prices,Equal demand,Equal utility levels
Economics,Microeconomics,Consumer Behaviour,Easy,15,Marginal utility means,Total utility,Additional satisfaction,Average satisfaction,Price effect,Additional satisfaction
Economics,Microeconomics,Consumer Behaviour,Medium,50,Law of diminishing marginal utility implies,MU increases,MU constant,MU decreases,MU negative,MU decreases
Economics,Microeconomics,Consumer Behaviour,Medium,50,Consumer equilibrium occurs when,MU equal price,MU zero,MU increasing,Income zero,MU equal price
Economics,Microeconomics,Production & Cost,Easy,15,Production function shows,Cost relation,Output relation,Utility relation,Profit relation,Output relation
Economics,Microeconomics,Production & Cost,Easy,15,Short run means,All factors variable,All factors fixed,Some fixed factors,No production,Some fixed factors
Economics,Microeconomics,Production & Cost,Medium,50,Law of variable proportions applies in,Short run,Long run,Perfect competition,Monopoly,Short run
Economics,Microeconomics,Production & Cost,Medium,50,Average cost curve is,U shaped,L shaped,Straight line,Vertical,U shaped
Economics,Microeconomics,Market Structures,Easy,15,Perfect competition has,Single seller,Many buyers and sellers,Price discrimination,High barriers,Many buyers and sellers
Economics,Microeconomics,Market Structures,Medium,50,Monopoly equilibrium occurs where,MR equals MC,MR greater than MC,MC greater than MR,AR equals MC,MR equals MC
Economics,Microeconomics,Market Structures,Medium,50,Monopolistic competition has,Homogeneous product,Differentiated product,Single firm,Price taker,Differentiated product
Economics,Microeconomics,Market Structures,PYQ,100,Oligopoly is characterized by,Few firms,Many firms,Single firm,Free entry,Few firms
Economics,Microeconomics,Welfare Economics,Medium,50,Pareto optimality means,One better one worse,No one worse off,Income equal,Utility zero,No one worse off
Economics,Microeconomics,Welfare Economics,PYQ,100,Deadweight loss occurs in,Perfect competition,Monopoly,Free market only,Public goods only,Monopoly
Economics,Microeconomics,Elasticity of Demand,Easy,15,Elastic demand means,Ed less than one,Ed equals zero,Ed greater than one,Ed negative,Ed greater than one
Economics,Microeconomics,Elasticity of Demand,Medium,50,Perfectly inelastic demand is,Horizontal,Vertical,Upward sloping,Downward sloping,Vertical
Economics,Microeconomics,General Equilibrium,Medium,50,General equilibrium involves,Single market,Two markets,All markets,No market,All markets
Economics,Microeconomics,Game Theory,PYQ,100,Nash equilibrium means,Best response strategy,Random strategy,No strategy,Loss strategy,Best response strategy
Economics,Microeconomics,Factor Pricing,Medium,50,Marginal productivity theory explains,Wages,Inflation,GDP,Tax,Wages
Economics,Microeconomics,Cost Theory,Easy,15,Fixed cost does not vary with,Output,Price,Revenue,Profit,Output
Paper 1,Teaching Aptitude,Levels of Teaching,Easy,15,Reflective level of teaching focuses on,Memory,Critical thinking,Note making,Repetition,Critical thinking
Paper 1,Teaching Aptitude,Methods of Teaching,Medium,50,Learner centred method emphasizes,Teacher control,Student participation,Silence,Memorization,Student participation
Paper 1,Research Aptitude,Research Meaning & Types,Easy,15,Research is,Systematic investigation,Guess work,Opinion writing,Story telling,Systematic investigation
